,betweenness,closeness,degree,page rank,hits hub,hits authority
168,0.0005534586581314915,0.36575342465753424,0.011235955056179775,0.0017363751962932066,0.00103868504019305,0.0010386850401930498
169,0.0,0.4165366614664587,0.00749063670411985,0.0012784514565006987,0.00159520637594808,0.00159520637594808
170,7.1785593481129015e-06,0.3536423841059603,0.00749063670411985,0.0011508071905885064,0.0010098916255789178,0.0010098916255789176
171,1.4570661040637357e-05,0.3622795115332429,0.00749063670411985,0.0011806752213817297,0.0009878193729417188,0.0009878193729417185
172,0.0012524963813510025,0.413953488372093,0.011235955056179775,0.001899639252991169,0.001215091859297477,0.0012150918592974767
173,0.00012595570689089448,0.33883248730964466,0.011235955056179775,0.0019315314487182793,0.0005907378733272904,0.0005907378733272902
174,4.336229397700342e-06,0.34856396866840733,0.00749063670411985,0.0011428249604038129,0.0010498449995898686,0.0010498449995898682
175,0.00021962643214474862,0.3588709677419355,0.00749063670411985,0.0014000978182029697,0.0007888918735715759,0.0007888918735715762
176,0.0,0.3440721649484536,0.00749063670411985,0.001130581806844092,0.0010552840928995963,0.0010552840928995959
177,2.3466906967794015e-05,0.33458646616541354,0.00749063670411985,0.001386448657554655,0.000544318803017303,0.000544318803017303
178,0.0,0.36277173913043476,0.00749063670411985,0.0011388635438602348,0.00121976400459897,0.0012197640045989698
179,1.5488158598744053e-05,0.33044554455445546,0.00749063670411985,0.0012289729513011906,0.0004304589581643975,0.00043045895816439694
180,0.0010798475020828647,0.3248175182481752,0.011235955056179775,0.0021381575021588535,0.0003894270043662685,0.00038942700436626844
181,8.633385260734338e-05,0.34318766066838047,0.00749063670411985,0.0013788697605350178,0.0005806692380303018,0.000580669238030302
182,2.4532028612567734e-05,0.356951871657754,0.00749063670411985,0.0011788685676600839,0.0009130315081702289,0.000913031508170229
183,2.1388409493503687e-05,0.3418693982074264,0.00749063670411985,0.00125702887051424,0.0006468964378130951,0.0006468964378130956
184,3.945792785870508e-05,0.35935397039030953,0.00749063670411985,0.0012984981891499417,0.000798803383772947,0.0007988033837729465
185,0.0,0.4126738794435858,0.00749063670411985,0.0012704721470309255,0.001459793102709227,0.0014597931027092264
186,0.005669683962325679,0.413312693498452,0.011235955056179775,0.0019965453844604463,0.0011979310675145018,0.001197931067514501
187,1.4570661040637357e-05,0.3622795115332429,0.00749063670411985,0.0011806752213817297,0.0009878193729417188,0.0009878193729417185
188,8.535249305714795e-06,0.33883248730964466,0.00749063670411985,0.0011816085213526193,0.0006472005493418912,0.0006472005493418909
189,1.0457979034405231e-05,0.34856396866840733,0.00749063670411985,0.0011580301626433458,0.0008967034976746229,0.0008967034976746231
190,1.4969042171880729e-05,0.3182359952324195,0.00749063670411985,0.0012351449017709605,0.0003577753927813944,0.0003577753927813946
191,1.8304187434879334e-05,0.33754740834386854,0.00749063670411985,0.0012521730048599207,0.0006116951191423042,0.0006116951191423043
192,0.0,0.4126738794435858,0.00749063670411985,0.001314469370340081,0.001246091984287996,0.001246091984287995
193,0.00022120485608971669,0.3531746031746032,0.011235955056179775,0.0017154480495981351,0.0010948750631295534,0.0010948750631295527
194,0.0,0.41459627329192544,0.00749063670411985,0.0012735420157152849,0.0015473996132870822,0.001547399613287082
195,7.040072090338205e-05,0.3617886178861789,0.00749063670411985,0.0012839313514237075,0.0008305571461104811,0.0008305571461104812
196,0.0,0.3472041612483745,0.00749063670411985,0.0011315064370060151,0.0011071064394720354,0.001107106439472035
197,0.0,0.3440721649484536,0.00749063670411985,0.0011233599146099754,0.0010317598172785015,0.001031759817278502
198,0.0,0.3541114058355438,0.00749063670411985,0.0011238474578151565,0.0012528028161432998,0.0012528028161433009
199,1.0168993019377408e-05,0.33126550868486354,0.00749063670411985,0.0011667223619574384,0.0005161648814971191,0.0005161648814971192
200,0.0016099045132293341,0.31635071090047395,0.011235955056179775,0.001987984739851007,0.00026495935648627756,0.0002649593564862776
201,1.0965794368233746e-05,0.3527080581241744,0.00749063670411985,0.001162925899718576,0.000920819322359159,0.0009208193223591592
202,1.8237139129257064e-05,0.33669609079445145,0.00749063670411985,0.0012012722082964022,0.0005186756870974213,0.0005186756870974214
203,9.681405147712059e-06,0.3550531914893617,0.00749063670411985,0.0011385497060546297,0.0010545220196367853,0.0010545220196367853
204,1.3580277331617873e-05,0.3550531914893617,0.00749063670411985,0.0011689507805601072,0.0009524891875279636,0.0009524891875279634
205,7.616047269617461e-06,0.3494764397905759,0.00749063670411985,0.0011553275541618113,0.0008931375001295167,0.0008931375001295167
206,4.967112353442641e-06,0.3527080581241744,0.00749063670411985,0.001160025687700364,0.001057557134575415,0.0010575571345754155
207,0.0004428337298446853,0.36277173913043476,0.011235955056179775,0.0017260817732494115,0.0011700368968084831,0.0011700368968084835
208,0.0,0.413312693498452,0.00749063670411985,0.0012793040969871893,0.0013563561695691816,0.0013563561695691811
209,1.4570661040637357e-05,0.3622795115332429,0.00749063670411985,0.0011806752213817297,0.0009878193729417188,0.0009878193729417185
210,3.811696174625971e-05,0.34993446920052423,0.00749063670411985,0.001250971551480055,0.000623841440136873,0.0006238414401368728
211,4.134750713214799e-06,0.3550531914893617,0.00749063670411985,0.0011389271542924274,0.0010830901127627495,0.0010830901127627493
212,2.3466906967794015e-05,0.33044554455445546,0.00749063670411985,0.0015444223019043688,0.0004544455006935884,0.000454445500693589
213,0.0,0.34856396866840733,0.00749063670411985,0.001131850087965779,0.0011017189057245795,0.0011017189057245793
214,4.458712323880863e-05,0.3472041612483745,0.00749063670411985,0.001383237020236376,0.0007037851764911091,0.0007037851764911091
215,1.6594455641511484e-05,0.3086705202312139,0.00749063670411985,0.0013059258667987618,0.00025558358987992847,0.00025558358987992847
216,3.627666219983796e-06,0.35647530040053405,0.00749063670411985,0.0011330296915675435,0.0011153880707557983,0.0011153880707557987
217,5.8667267419485033e-05,0.27384615384615385,0.00749063670411985,0.0016439830402957567,5.2524972682718794e-05,5.2524972682718916e-05
218,0.0018057772721116472,0.3445161290322581,0.011235955056179775,0.001851704028094548,0.0008476240248915725,0.0008476240248915729
219,0.0,0.3579088471849866,0.00749063670411985,0.0011211170449189588,0.0012973877061181031,0.0012973877061181025
220,4.224043254202923e-05,0.325609756097561,0.00749063670411985,0.0014128114547569972,0.00035036731830745,0.0003503673183074501
