,betweenness,closeness,degree,in degree,out degree,page rank,hits hub,hits authority
3036907250,0.0,1.0,1.0,1.0,0.0,0.12493123337100807,-0.0,0.05550753154290877
2582519183,0.0,0.24399025733347451,0.03759398496240601,0.015037593984962405,0.022556390977443608,0.003193332664875457,0.0024160963338641043,0.0009821770353917792
1558731210570010624,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
998681467696885761,0.004835268245324782,0.3464661654135338,0.3533834586466165,0.14285714285714285,0.21052631578947367,0.011600573185980605,0.020937941726915498,0.018836033050979622
1176475874759270400,0.0,0.0,0.03007518796992481,0.0,0.03007518796992481,0.001911835428600428,0.004516136702032039,-0.0
553507111,0.0,0.24659513552564685,0.045112781954887216,0.022556390977443608,0.022556390977443608,0.0032947498729784296,0.002461028745399233,0.0018169635017041138
1275818050848206848,1.7830609935873093e-05,0.25289501125075464,0.06766917293233082,0.022556390977443608,0.045112781954887216,0.003130858458686595,0.004583890845246468,0.0022663877308368163
28607182,0.018452916229599985,0.35174229991221706,0.2706766917293233,0.11278195488721804,0.15789473684210525,0.011477343458963975,0.01201077518833295,0.009304423036827679
1546349170315120640,0.017435934385912222,0.348207201420637,0.3458646616541353,0.13533834586466165,0.21052631578947367,0.012064542730026233,0.018389111367188914,0.0157332257969984
1520733236678299650,0.010016254780936802,0.3222941073614268,0.21052631578947367,0.07518796992481203,0.13533834586466165,0.008220059510610885,0.010430387604388129,0.006389461252782637
3383574447,0.0,0.0,0.022556390977443608,0.0,0.022556390977443608,0.001911835428600428,0.002456289101309371,-0.0
2989739661,0.0020126894788968478,0.31354404109822065,0.17293233082706766,0.09022556390977443,0.08270676691729323,0.008521605241975833,0.005826363981133396,0.007189066264515183
1511721268558630916,0.008051130984191943,0.33314054366685947,0.21052631578947367,0.09022556390977443,0.12030075187969924,0.009978212337255842,0.010292476250469931,0.007552300961046969
1455458703524700161,0.0,0.0,0.015037593984962405,0.0,0.015037593984962405,0.001911835428600428,0.0021952489303840896,-0.0
